txn_ref,status,decision_bucket,match_type,exception_reason,confidence,severity,recommended_action,candidate_matches,detail
TXN21001,EXCEPTION,REVIEW,,partial_payment,66,MEDIUM,Confirm with the gateway whether this was an intentional partial settlement (e.g. a dispute hold) or an error requiring a follow-up payment.,"[{""candidate_ref"": ""TXN21001"", ""score"": 100, ""amount_gap"": 8056.3}]",Settlement amount (₹3482.74) is ₹8056.30 (69.8%) below the ledger amount (₹11539.04) -- too large to be a normal gateway fee. Likely a partial payment or refund.
TXN21003,EXCEPTION,REVIEW,,missing_ledger_entry,40,MEDIUM,Confirm this sale was recorded correctly in the merchant's books; may indicate a booking-system sync issue rather than a payment issue.,"[{""candidate_ref"": ""TXN21008"", ""score"": 87.5}]","Settlement received but no corresponding ledger entry exists. Possible unrecorded sale, or a booking-system sync issue."
TXN21008,EXCEPTION,REVIEW,,missing_settlement,40,MEDIUM,Follow up with the payment gateway on why this settlement never arrived; check for a failed payout or a data feed gap.,"[{""candidate_ref"": ""TXN21003"", ""score"": 87.5}]","Ledger expects this transaction but no matching settlement was received. Possible payment failure, delayed payout beyond window, or gateway data gap."
TXN21009,EXCEPTION,REVIEW,,partial_payment,77,MEDIUM,Confirm with the gateway whether this was an intentional partial settlement (e.g. a dispute hold) or an error requiring a follow-up payment.,"[{""candidate_ref"": ""TXN21009"", ""score"": 100, ""amount_gap"": 3959.75}]",Settlement amount (₹5445.12) is ₹3959.75 (42.1%) below the ledger amount (₹9404.87) -- too large to be a normal gateway fee. Likely a partial payment or refund.
TXN21015,EXCEPTION,REVIEW,,partial_payment,71,MEDIUM,Confirm with the gateway whether this was an intentional partial settlement (e.g. a dispute hold) or an error requiring a follow-up payment.,"[{""candidate_ref"": ""TXN21015"", ""score"": 100, ""amount_gap"": 1198.14}]",Settlement amount (₹978.09) is ₹1198.14 (55.1%) below the ledger amount (₹2176.23) -- too large to be a normal gateway fee. Likely a partial payment or refund.
TXN21017,MATCHED,REVIEW,timing_offset,,89,,,,"Amount matches exactly; settlement lagged ledger by 6 day(s), within the normal settlement window."
TXN21023,EXCEPTION,REVIEW,,missing_ledger_entry,40,MEDIUM,Confirm this sale was recorded correctly in the merchant's books; may indicate a booking-system sync issue rather than a payment issue.,"[{""candidate_ref"": ""TXN21028"", ""score"": 87.5}, {""candidate_ref"": ""TXN21025"", ""score"": 87.5}]","Settlement received but no corresponding ledger entry exists. Possible unrecorded sale, or a booking-system sync issue."
TXN21025,EXCEPTION,REVIEW,,missing_settlement,40,MEDIUM,Follow up with the payment gateway on why this settlement never arrived; check for a failed payout or a data feed gap.,"[{""candidate_ref"": ""TXN21023"", ""score"": 87.5}]","Ledger expects this transaction but no matching settlement was received. Possible payment failure, delayed payout beyond window, or gateway data gap."
TXN21028,EXCEPTION,REVIEW,,missing_settlement,40,MEDIUM,Follow up with the payment gateway on why this settlement never arrived; check for a failed payout or a data feed gap.,"[{""candidate_ref"": ""TXN21023"", ""score"": 87.5}]","Ledger expects this transaction but no matching settlement was received. Possible payment failure, delayed payout beyond window, or gateway data gap."
TXN21032,EXCEPTION,REVIEW,,partial_payment,70,MEDIUM,Confirm with the gateway whether this was an intentional partial settlement (e.g. a dispute hold) or an error requiring a follow-up payment.,"[{""candidate_ref"": ""TXN21032"", ""score"": 100, ""amount_gap"": 5198.84}]",Settlement amount (₹3937.59) is ₹5198.84 (56.9%) below the ledger amount (₹9136.43) -- too large to be a normal gateway fee. Likely a partial payment or refund.
