txn_id,expected_outcome,reason
TXN1000,MATCH,exact
TXN1001,MATCH,exact
TXN1002,MATCH,exact
TXN1003,MATCH,fee_adjusted
TXN1004,EXCEPTION,missing_ledger_entry
TXN1005,MATCH,exact
TXN1006,MATCH,timing_offset
TXN1007,MATCH,exact
TXN1008,EXCEPTION,duplicate_settlement
TXN1009,MATCH,exact
TXN1010,MATCH,exact
TXN1011,MATCH,exact
TXN1012,MATCH,timing_offset
TXN1013,EXCEPTION,missing_settlement
TXN1014,MATCH,exact
TXN1015,EXCEPTION,missing_ledger_entry
TXN1016,MATCH,exact
TXN1017,EXCEPTION,missing_ledger_entry
TXN1018,MATCH,exact
TXN1019,MATCH,exact
TXN1020,MATCH,exact
TXN1021,MATCH,fee_adjusted
TXN1022,MATCH,timing_offset
TXN1023,MATCH,exact
TXN1024,MATCH,exact
TXN1025,MATCH,fee_adjusted
TXN1026,EXCEPTION,partial_payment
TXN1027,MATCH,timing_offset
TXN1028,MATCH,exact
TXN1029,MATCH,fee_adjusted
TXN1030,EXCEPTION,partial_payment
TXN1031,EXCEPTION,missing_settlement
TXN1032,EXCEPTION,missing_ledger_entry
TXN1033,MATCH,exact
TXN1034,EXCEPTION,missing_settlement
TXN1035,MATCH,fee_adjusted
TXN1036,EXCEPTION,duplicate_settlement
TXN1037,MATCH,exact
TXN1038,MATCH,exact
TXN1039,MATCH,exact
TXN1040,MATCH,timing_offset
TXN1041,MATCH,fee_adjusted
TXN1042,EXCEPTION,missing_settlement
TXN1043,MATCH,exact
TXN1044,MATCH,fee_adjusted
TXN1045,MATCH,exact
TXN1046,EXCEPTION,duplicate_settlement
TXN1047,EXCEPTION,partial_payment
TXN1048,MATCH,exact
TXN1049,EXCEPTION,partial_payment
TXN1050,MATCH,exact
TXN1051,MATCH,exact
TXN1052,MATCH,exact
TXN1053,MATCH,exact
TXN1054,MATCH,exact
TXN1055,MATCH,timing_offset
TXN1056,MATCH,exact
TXN1057,EXCEPTION,partial_payment
TXN1058,MATCH,fee_adjusted
TXN1059,MATCH,exact
