txn_ref,status,match_type,exception_reason,ledger_amount,settlement_amount,confidence,severity,recommended_action,detail,evidence
TXN21000,MATCHED,exact,,15659.74,15659.74,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21001,EXCEPTION,,partial_payment,11539.04,3482.74,66,MEDIUM,Confirm with the gateway whether this was an intentional partial settlement (e.g. a dispute hold) or an error requiring a follow-up payment.,Settlement amount (₹3482.74) is ₹8056.30 (69.8%) below the ledger amount (₹11539.04) -- too large to be a normal gateway fee. Likely a partial payment or refund.,"{""reference_similarity"": 100, ""amount_similarity"": 0.3018, ""date_similarity"": 1.0, ""fee_consistency"": 0.0, ""candidate_score"": 65.56, ""amount_gap"": 8056.3, ""candidate_matches"": [{""candidate_ref"": ""TXN21001"", ""score"": 100, ""amount_gap"": 8056.3}], ""candidate_count"": 1}"
TXN21002,MATCHED,exact,,17582.16,17582.16,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21003,EXCEPTION,,missing_ledger_entry,,16926.03,40,MEDIUM,Confirm this sale was recorded correctly in the merchant's books; may indicate a booking-system sync issue rather than a payment issue.,"Settlement received but no corresponding ledger entry exists. Possible unrecorded sale, or a booking-system sync issue.","{""reference_similarity"": 100, ""amount_similarity"": 0.0, ""date_similarity"": 0.0, ""fee_consistency"": 0.0, ""candidate_score"": 40.0, ""amount_gap"": null, ""candidate_matches"": [{""candidate_ref"": ""TXN21008"", ""score"": 87.5}], ""candidate_count"": 1, ""review_reason"": ""close_fuzzy_candidates_exist""}"
TXN21004,MATCHED,exact,,3110.81,3110.81,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21005,MATCHED,fee_adjusted,,8051.35,7656.83,98,,,"Settlement is 4.90% below ledger amount (₹394.52), consistent with a gateway fee deduction.","{""reference_similarity"": 100, ""amount_similarity"": 0.951, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 98.28, ""amount_gap"": 394.52, ""candidate_count"": 1}"
TXN21006,MATCHED,exact,,8136.15,8136.15,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21007,EXCEPTION,,settlement_exceeds_ledger,12896.42,15270.08,90,MEDIUM,"Investigate the source of the extra funds -- could be a refund reversal, a correction credit, or a gateway error. Do not assume it's a bonus.","Settlement amount (₹15270.08) is ₹2373.66 HIGHER than the ledger amount (₹12896.42) -- gateway paid more than the merchant's books expected. Possible refund reversal, correction credit, or duplicate top-up.","{""reference_similarity"": 100, ""amount_similarity"": 0.8159, ""date_similarity"": 1.0, ""fee_consistency"": 0.6319, ""candidate_score"": 89.88, ""amount_gap"": -2373.66, ""candidate_matches"": [{""candidate_ref"": ""TXN21007"", ""score"": 100, ""amount_gap"": -2373.66}], ""candidate_count"": 1}"
TXN21008,EXCEPTION,,missing_settlement,6715.06,,40,MEDIUM,Follow up with the payment gateway on why this settlement never arrived; check for a failed payout or a data feed gap.,"Ledger expects this transaction but no matching settlement was received. Possible payment failure, delayed payout beyond window, or gateway data gap.","{""reference_similarity"": 100, ""amount_similarity"": 0.0, ""date_similarity"": 0.0, ""fee_consistency"": 0.0, ""candidate_score"": 40.0, ""amount_gap"": null, ""candidate_matches"": [{""candidate_ref"": ""TXN21003"", ""score"": 87.5}], ""candidate_count"": 1, ""review_reason"": ""close_fuzzy_candidates_exist""}"
TXN21009,EXCEPTION,,partial_payment,9404.87,5445.12,77,MEDIUM,Confirm with the gateway whether this was an intentional partial settlement (e.g. a dispute hold) or an error requiring a follow-up payment.,Settlement amount (₹5445.12) is ₹3959.75 (42.1%) below the ledger amount (₹9404.87) -- too large to be a normal gateway fee. Likely a partial payment or refund.,"{""reference_similarity"": 100, ""amount_similarity"": 0.579, ""date_similarity"": 1.0, ""fee_consistency"": 0.1579, ""candidate_score"": 76.84, ""amount_gap"": 3959.75, ""candidate_matches"": [{""candidate_ref"": ""TXN21009"", ""score"": 100, ""amount_gap"": 3959.75}], ""candidate_count"": 1}"
